hospital,canton,delivery,year,cases_c-section,cases_kidney,Reg,Uni,percentage_c-section
Les HÃ´pitaux Universitaires de GenÃ¨ve HUG,GE,4048,2015,1196.0,35.0,RO,1,0.29545454545454547
LUKS Spitalbetriebe AG,LU,2988,2015,982.0,,AL,0,0.3286479250334672
CHUV Centre Hospitalier Universitaire Vaudois,VD,2909,2015,963.0,52.0,RO,1,0.3310415950498453
UniversitÃ¤tsspital ZÃ¼rich,ZH,2839,2015,1226.0,83.0,AL,1,0.4318421979570271
UniversitÃ¤tsspital Basel,BS,2509,2015,912.0,80.0,AL,1,0.3634914308489438
Spital Thurgau AG KantonsspitÃ¤ler Frauenfeld & MÃ¼nsterlingen,TG,2338,2015,600.0,,AL,0,0.2566295979469632
Lindenhofgruppe AG,BE,2241,2015,847.0,,AL,0,0.3779562695225346
HÃ´pital Riviera-Chablais Vaud-Valais,VD,1969,2015,510.0,,RO,0,0.25901472828847133
Stadtspital Triemli,ZH,1965,2015,760.0,,AL,0,0.38676844783715014
EOC Ente ospedaliero cantonale,TI,1866,2015,516.0,,RO,0,0.2765273311897106
Spital Zollikerberg,ZH,1838,2015,736.0,,AL,0,0.40043525571273125
Kantonsspital Winterthur,ZH,1764,2015,569.0,,AL,0,0.322562358276644
HÃ´pital du Valais - Centre hospitalier du centre du Valais (CHCVs),VS,1649,2015,333.0,,RO,0,0.20194057004244997
Insel Gruppe AG (universitÃ¤r),BE,1639,2015,681.0,40.0,AL,1,0.41549725442342894
Kantonsspital St. Gallen,SG,1619,2015,647.0,14.0,AL,0,0.3996294008647313
Kantonsspital Aarau AG,AG,1616,2015,472.0,,AL,0,0.29207920792079206
Kantonsspital Baden AG,AG,1607,2015,528.0,,AL,0,0.328562538892346
RÃ©seau hospitalier neuchÃ¢telois RHNe,NE,1501,2015,408.0,,RO,0,0.27181878747501664
HÃ´pital Jules Daler,FR,1483,2015,458.0,,RO,0,0.3088334457181389
Spital BÃ¼lach AG,ZH,1420,2015,462.0,,AL,0,0.32535211267605635
Spitalverbund Appenzell Ausserrhoden,AR,1414,2015,349.0,,AL,0,0.24681753889674682
Solothurner SpitÃ¤ler AG,SO,1324,2015,453.0,,AL,0,0.3421450151057402
EHC Ensemble hospitalier de la CÃ´te,VD,1320,2015,368.0,,RO,0,0.2787878787878788
Bethesda Spital AG,BS,1281,2015,510.0,,AL,0,0.3981264637002342
Kantonsspital Baselland,BL,1234,2015,352.0,,AL,0,0.2852512155591572
Hirslanden Bern AG,BE,1137,2015,414.0,,AL,0,0.3641160949868074
Spital STS AG,BE,1137,2015,327.0,,AL,0,0.287598944591029
Spitalregion Rheintal Werdenberg Sarganserland,SG,1132,2015,285.0,,AL,0,0.25176678445229683
Spitalzentrum Biel AG,BE,1031,2015,245.0,,AL,0,0.2376333656644035
Spital Limmattal,ZH,1011,2015,350.0,,AL,0,0.34619188921859545
Kantonsspital GraubÃ¼nden,GR,1005,2015,376.0,,AL,0,0.37412935323383084
Etablissements Hospitaliers du Nord Vaudois (eHnv),VD,1005,2015,293.0,,RO,0,0.2915422885572139
Klinik Hirslanden AG,ZH,992,2015,,,AL,0,
Spital Uster,ZH,921,2015,277.0,,AL,0,0.3007600434310532
Zuger Kantonsspital AG,ZG,888,2015,256.0,,AL,0,0.2882882882882883
GZO Spital Wetzikon,ZH,873,2015,245.0,,AL,0,0.2806414662084765
HFR - HÃ´pital fribourgeois,FR,869,2015,246.0,,RO,0,0.28308400460299193
Clinique des Grangettes SA,GE,842,2015,335.0,,RO,0,0.3978622327790974
Swiss Medical Network Hospitals SA Clinica Sant'Anna,TI,835,2015,331.0,,RO,0,0.3964071856287425
Hirslanden Klinik St. Anna AG,LU,827,2015,357.0,,AL,0,0.4316807738814994
Hirslanden Klinik Stephanshorn,SG,824,2015,418.0,,AL,0,0.5072815533980582
Spitalregion FÃ¼rstenland Toggenburg,SG,798,2015,245.0,,AL,0,0.30701754385964913
SpitÃ¤ler Schaffhausen,SH,786,2015,271.0,,AL,0,0.34478371501272265
Clinique GÃ©nÃ©rale-Beaulieu,GE,760,2015,260.0,,RO,0,0.34210526315789475
Hirslanden Klinik Aarau,AG,748,2015,359.0,,AL,0,0.4799465240641711
Spital Wallis - Spitalzentrum Oberwallis (SZO),VS,722,2015,195.0,,RO,0,0.27008310249307477
Swiss Medical Network Hospitals SA Klinik Villa im Park,AG,664,2015,267.0,,AL,0,0.40210843373493976
Asana Spital Leuggern AG,AG,649,2015,215.0,,AL,0,0.3312788906009245
See-Spital,ZH,642,2015,217.0,,AL,0,0.338006230529595
HÃ´pital Intercantonal de la Broye (HIB),VD,638,2015,141.0,,RO,0,0.22100313479623823
Hirslanden Klinik Linde AG,BE,625,2015,232.0,,AL,0,0.3712
HÃ´pital du Jura,JU,620,2015,111.0,,RO,0,0.17903225806451614
SpitÃ¤ler Frutigen Meiringen Interlaken AG,BE,618,2015,196.0,,AL,0,0.31715210355987056
Stiftung Spital Muri,AG,606,2015,177.0,,AL,0,0.29207920792079206
SRO AG,BE,598,2015,222.0,,AL,0,0.3712374581939799
Klinik Im Park,ZH,592,2015,319.0,,AL,0,0.5388513513513513
Groupement Hospitalier de l'Ouest LÃ©manique (GHOL) SA,VD,591,2015,208.0,,RO,0,0.35194585448392557
Paracelsus-Spital Richterswil AG,ZH,588,2015,109.0,,AL,0,0.18537414965986396
Regionalspital Emmental AG,BE,574,2015,153.0,,AL,0,0.2665505226480836
HÃ´pital de la Tour,GE,564,2015,205.0,,RO,0,0.36347517730496454
Spital Nidwalden AG,NW,534,2015,145.0,,AL,0,0.27153558052434457
Insel Gruppe AG (nicht-universitÃ¤r),BE,504,2015,194.0,,AL,0,0.38492063492063494
Spital MÃ¤nnedorf AG,ZH,501,2015,168.0,,AL,0,0.33532934131736525
Hirslanden Lausanne SA,VD,497,2015,240.0,,RO,0,0.482897384305835
Gesundheitszentrum Fricktal,AG,481,2015,215.0,,AL,0,0.446985446985447
Andreas Klinik,ZG,470,2015,249.0,,AL,0,0.5297872340425532
Spital Lachen,SZ,464,2015,152.0,,AL,0,0.3275862068965517
Spital Schwyz,SZ,458,2015,107.0,,AL,0,0.2336244541484716
Spital Linth,SG,442,2015,128.0,,AL,0,0.2895927601809955
Swiss Medical Network Hospitals SA Privatklinik Obach,SO,378,2015,174.0,,AL,0,0.4603174603174603
Kantonsspital Glarus,GL,375,2015,142.0,,AL,0,0.37866666666666665
